67787.7894897;446745.057678;-0.617
67799.7894897;446745.057678;-0.478
67799.7894897;446747.057678;-0.403
67801.7894897;446745.057678;-0.547
67801.7894897;446747.057678;-0.545
67803.7894897;446745.057678;-0.631
67803.7894897;446747.057678;-0.582
67803.7894897;446749.057678;-0.544
67805.7894897;446745.057678;-0.707
67805.7894897;446747.057678;-0.692
67805.7894897;446749.057678;-0.584
67807.7894897;446745.057678;-0.743
67807.7894897;446747.057678;-0.746
67807.7894897;446749.057678;-0.634
67809.7894897;446745.057678;-0.785
67809.7894897;446747.057678;-0.714
67809.7894897;446749.057678;-0.637
67811.7894897;446745.057678;-0.838
67813.7894897;446745.057678;-0.884
67813.7894897;446747.057678;-0.864
67813.7894897;446749.057678;-0.892
67815.7894897;446745.057678;-0.865
67815.7894897;446747.057678;-0.861
67815.7894897;446749.057678;-0.865
67817.7894897;446745.057678;-0.856
67817.7894897;446747.057678;-0.852
67817.7894897;446749.057678;-0.896
67819.7894897;446745.057678;-0.848
67819.7894897;446747.057678;-0.902
67819.7894897;446749.057678;-0.871
67823.7894897;446745.057678;-0.634
67823.7894897;446747.057678;-0.607
67825.7894897;446745.057678;-0.67
67825.7894897;446747.057678;-0.682
67825.7894897;446749.057678;-0.662
67827.7894897;446745.057678;-0.624
67827.7894897;446747.057678;-0.647
67827.7894897;446749.057678;-0.712
67829.7894897;446745.057678;-0.713
67829.7894897;446747.057678;-0.732
67829.7894897;446749.057678;-0.7
67831.7894897;446747.057678;-0.705
67831.7894897;446749.057678;-0.737
67833.7894897;446749.057678;-0.754
67835.7894897;446745.057678;-0.838
67835.7894897;446747.057678;-0.866
67835.7894897;446749.057678;-0.818
67837.7894897;446745.057678;-0.799
67837.7894897;446747.057678;-0.808
67837.7894897;446749.057678;-0.762
67839.7894897;446745.057678;-0.741
67839.7894897;446747.057678;-0.702
67839.7894897;446749.057678;-0.726
67841.7894897;446745.057678;-0.619
67841.7894897;446747.057678;-0.695
67843.7894897;446745.057678;-0.62
67845.7894897;446749.057678;-0.764
67847.7894897;446747.057678;-0.654
67847.7894897;446749.057678;-0.745
67849.7894897;446747.057678;-0.693
67849.7894897;446749.057678;-0.661
67853.7894897;446745.057678;-0.672
67853.7894897;446747.057678;-0.65
67853.7894897;446749.057678;-0.692
67855.7894897;446747.057678;-0.631
67855.7894897;446749.057678;-0.577
67857.7894897;446747.057678;-0.601
67865.7894897;446745.057678;-0.651
67865.7894897;446747.057678;-0.655
67865.7894897;446749.057678;-0.704
67867.7894897;446747.057678;-0.583
67867.7894897;446749.057678;-0.657
67869.7894897;446747.057678;-0.631
67871.7894897;446747.057678;-0.575
67873.7894897;446747.057678;-0.491
67873.7894897;446749.057678;-0.496
68001.7894897;446919.057678;-0.54
68001.7894897;446921.057678;-0.57
68001.7894897;446927.057678;-0.669
68001.7894897;446929.057678;-0.681
68001.7894897;446931.057678;-0.76
68001.7894897;446933.057678;-0.736
68001.7894897;446939.057678;-0.642
68001.7894897;446941.057678;-0.687
68001.7894897;446943.057678;-0.546
68001.7894897;446945.057678;-0.537
68001.7894897;446947.057678;-0.494
68001.7894897;446949.057678;-0.541
68001.7894897;446951.057678;-0.552
68001.7894897;446953.057678;-0.588
68001.7894897;446955.057678;-0.645
68001.7894897;446959.057678;-0.707
68001.7894897;446961.057678;-0.742
68001.7894897;446963.057678;-0.729
68001.7894897;446965.057678;-0.699
68001.7894897;446967.057678;-0.733
68001.7894897;446969.057678;-0.63
68001.7894897;446971.057678;-0.567
68001.7894897;446973.057678;-0.55
68001.7894897;446975.057678;-0.545
68001.7894897;446977.057678;-0.49
68001.7894897;447013.057678;-0.739
68001.7894897;447015.057678;-0.714
68001.7894897;447019.057678;-0.488
68003.7894897;446933.057678;-0.752
68003.7894897;446941.057678;-0.631
68003.7894897;446945.057678;-0.521
68003.7894897;446947.057678;-0.543
68003.7894897;446949.057678;-0.559
68003.7894897;446951.057678;-0.549
68003.7894897;446953.057678;-0.586
68003.7894897;446955.057678;-0.655
68003.7894897;446957.057678;-0.681
68003.7894897;446959.057678;-0.689
68003.7894897;446961.057678;-0.745
68003.7894897;446963.057678;-0.754
68003.7894897;446965.057678;-0.737
68003.7894897;446967.057678;-0.689
68003.7894897;446969.057678;-0.662
68003.7894897;446971.057678;-0.642
68003.7894897;446973.057678;-0.632
68003.7894897;446975.057678;-0.609
